Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
Home Page,2992,14669,21544,23446,24449,27876,426,30259,"0,067%","2,58185","11,99","0,30"
Buscar Voos,2402,1863,1256,4180,5821,8818,163,10403,"0,083%","2,10802","15,14","0,51"
Escolher Voo,2318,1813,1183,4407,5822,8033,257,10187,"0,000%","2,03747","13,37","0,43"
Preencher Formulário de Compra,2263,1736,751,4490,5972,9208,181,10405,"0,088%","1,98852","11,21","0,81"
Teste Pico-ThreadStarter:Home Page,1470,13994,21488,23343,25955,31147,318,31834,"2,313%","16,29549","74,03","1,89"
Teste Pico-ThreadStarter:Buscar Voos,1112,2511,1903,5570,7464,10376,162,10590,"2,518%","15,37526","107,84","3,70"
Teste Pico-ThreadStarter:Escolher Voo,1097,2632,1865,5962,9584,10436,165,11186,"1,823%","14,98962","96,62","3,15"
Teste Pico-ThreadStarter:Preencher Formulário de Compra,1089,2545,1406,6109,8782,10411,162,10733,"2,112%","14,81875","81,94","6,05"
TOTAL,14743,5801,2071,21682,22411,25898,162,31834,"0,753%","3,09120","18,18","0,72"
